,A,B
0,Id,Id
1,MSSubClass,建筑信息
2,MSZoning,用途分类
3,LotFrontage,临街距离
4,LotArea,地块面积
5,Street,街道铺设
6,Alley,门口铺设
7,LotShape,房屋形状
8,LandContour,地面平整
9,Utilities,水电煤气
10,LotConfig,位置细节
11,LandSlope,物业平整
12,Neighborhood,地理位置
13,Condition1,周边条件1
14,Condition2,周边条件2
15,BldgType,住宅类型
16,HouseStyle,住宅样式
17,OverallQual,材料外观
18,OverallCond,整体评价
19,YearBuilt,起建时间
20,YearRemodAdd,重建时间
21,RoofStyle,屋顶类型
22,RoofMatl,屋顶材料
23,Exterior1st,外墙覆盖材料1
24,Exterior2nd,外墙覆盖材料2
25,MasVnrType,砌体类型
26,MasVnrArea,胶合板面积
27,ExterQual,外墙材料质量
28,ExterCond,外墙状态
29,Foundation,地基类型
30,BsmtQual,地下室高度
31,BsmtCond,地下室状况
32,BsmtExposure,地下室光照
33,BsmtFinType1,地下室评级
34,BsmtFinSF1,地下室面积
35,BsmtFinType2,第二地下室评级
36,BsmtFinSF2,第二地下室面积
37,BsmtUnfSF,地下室未完工面积
38,TotalBsmtSF,基底总面积
39,Heating,取暖类型
40,HeatingQC,取暖设施质量
41,CentralAir,中央空调
42,Electrical,电气系统
43,1stFlrSF,一楼面积
44,2ndFlrSF,二楼面积
45,LowQualFinSF,低质量装修面积
46,GrLivArea,生活区域面积
47,BsmtFullBath,地下室全套卫浴
48,BsmtHalfBath,地下室半套卫浴
49,FullBath,地面全套卫浴
50,HalfBath,地面半套卫浴
51,BedroomAbvGr,地面卧室
52,KitchenAbvGr,地面厨房
53,KitchenQual,厨房质量
54,TotRmsAbvGrd,地面房间数
55,Functional,家庭功能
56,Fireplaces,壁炉数量
57,FireplaceQu,壁炉质量
58,GarageType,车库类型
59,GarageYrBlt,车库建成时间
60,GarageFinish,车库装饰
61,GarageCars,车库容量
62,GarageArea,车库面积
63,GarageQual,车库质量
64,GarageCond,车库条件
65,PavedDrive,铺设车道
66,WoodDeckSF,木地板面积
67,OpenPorchSF,开放式门廊面积
68,EnclosedPorch,封闭式门廊面积
69,3SsnPorch,三季门廊面积
70,ScreenPorch,露天门廊面积
71,PoolArea,游泳池面积
72,PoolQC,游泳池质量
73,Fence,栅栏质量
74,MiscFeature,杂项功能
75,MiscVal,杂项功能价值
76,MoSold,出售月份
77,YrSold,出售年份
78,SaleType,销售类型
79,SaleCondition,销售条件
80,SalePrice,销售价格
